ID,Yield
ID_SO3VW2X4QO93,386.3
ID_QUISMWEZR2H4,256.65
ID_WI17R25TC2VU,322.39
ID_SCAOUCCTJ75Z,4.0
ID_2WH3AXUWRS2A,226.16
ID_LBS8TBC6QEF1,294.57
ID_BY9JJAIKBRGP,313.9
ID_RFM5MWSIU1JX,319.4
ID_L3RTRS1QIY6D,308.46
ID_03QW4RBYQEBK,399.6
ID_4H0KNHPKF9BK,164.04
ID_3EUKVYT37JOP,223.4
ID_2OICAUFVUF5S,219.87
ID_75GYXJW1DYGX,314.1
ID_NJ7G0SAVDN1Q,320.2
ID_CR6L4TL2VEEM,254.21
ID_WYK6LRWQ21ML,329.16
ID_FTSIEXKUER9Y,325.45
ID_DJBLGDPMS85M,4.0
ID_P8MQS1ERUQ9F,234.95
ID_IKAOSO0CFKYZ,248.07
ID_OFSHZ2KZ1LQ4,4.0
ID_N99MP1180BJ5,222.93
ID_D5F8SLVPMZKE,118.74
ID_S1WHDBHNKLYO,334.67
ID_41XNQZ8M4QXH,360.45
ID_M47IW492SXOP,142.34
ID_RIP1ZN0ST7I3,23.38
ID_EVGU94YQTZWM,141.78
ID_QN4PJSV2CGSJ,268.1
ID_Q95BUWXK8RM3,115.96
ID_RCJZ3PORBWFV,127.63
ID_DS40FHVR9R7F,322.35
ID_U407VXC7F9NZ,329.8
ID_W0W8TG7XRWE3,186.64
ID_7RS2XDILJLBL,375.85
ID_IRBHYP3G7UXU,322.46
ID_UH3QT7I1O24Q,161.0
ID_IMKLSNJKVI4P,311.42
ID_MTR7TTJ5LSBE,129.19
ID_UCZXI2H7S2YD,228.97
ID_8ZCGIWU6GZLO,274.14
ID_SNIWSZ237UOD,310.29
ID_UUXFZKSR58SC,295.9
ID_NEGU2TDNC4Y0,91.65
ID_HTEQD0S6QIB8,312.55
ID_EHYBYH7QLOSL,204.8
ID_TL9C9OJ8G68U,226.82
ID_SV7AFMBC72LB,161.83
ID_RJIJXF4OS4RL,4.0
ID_ZWZRMNC7OOCV,243.79
ID_NHUOZPKIO0BR,397.6
ID_H992DU9HM8DQ,323.61
ID_Z17C9TLMF1MJ,186.06
ID_3RUIBILNO5TH,161.31
ID_G49PUGN2HFAD,252.64
ID_7F8MCGYBVNP9,398.7
ID_WWW8P7C0BWWD,322.76
ID_2GDKRWUIWI9Y,151.85
ID_E6BGEQJGO571,249.58
ID_SP088I6KHJYU,375.8
ID_75A7EFD9RIO4,160.94
ID_C8563RHWH4R1,334.1416666666667
ID_1NJF183VW7MV,103.89
ID_EMWY1EBQA2OW,4.0
ID_V292OF4LJFY6,330.1
ID_QL474TRJZ4KT,268.96
ID_JS00JMA9OC55,130.24
ID_AYEXJ449FHYB,244.42
ID_EUEIBIX6TBO2,316.18
ID_K3QDY7VQTJ4Z,371.85
ID_LVWYORSZVO3S,230.36
ID_FBND5TKBJU4V,252.79
ID_YX1YSBJPV00F,229.11
ID_CNJ0199EZ0Z5,258.95
ID_QTT6DFO6C20M,172.34
ID_84TIYB63GU2Q,121.74
ID_I13964DD6KTD,346.0125
ID_YV25FQOXZ8MV,4.0
ID_T55BT4VODB0E,142.39
ID_MURY55Z0UGAN,327.9
ID_XLERVZJLB89L,347.2
ID_G0F3TN5NG6BH,231.06
ID_ALXWTRGLKYET,336.1
ID_ZJX6UR06AOQN,146.39
ID_6W3UCOWAIKFY,265.12
ID_DUBR80BZKU6Y,300.11
ID_MAEEJ3FRNXBQ,318.6
ID_6LCF9GFNTUHP,344.5625
ID_J9A3XKAY092U,362.9
ID_FCP0ZRWKWL2B,368.4
ID_L7DSNSBA5RQQ,247.94
ID_HCUH5OSOLYNC,321.2
ID_FN2NLEWDMB6D,329.16
ID_605VN4QHNIDI,358.25
ID_IJFSC215A8T5,251.41
ID_XL5X7DAJMM1B,397.6
ID_APVY0ZAA2T96,318.36
ID_RDH6HLOB2U92,321.66
ID_1PB93FWUQFQB,325.71
ID_PCCPOOUSGB06,168.28
ID_YCYMKBL2CA1K,370.5
ID_DBTQY3BIX7K1,329.5
ID_VXHEQJCSAEGO,385.95
ID_NG1BV8SLDLT6,267.9
ID_VR4Q2KY91Y7I,352.55
ID_80IN0NOG3IGG,292.01
ID_L5TFK1K76NVV,309.91
ID_CB1C6HBQXD06,327.45
ID_17C2BIFXGXAB,342.75
ID_7Z26WTZTG1EE,235.9
ID_CA5E6O3YBPYR,254.9
ID_CM0W1BO8Z7YV,327.3
ID_030L0XB0GEPB,242.2
ID_YECW50OR7NEH,231.96
ID_5W7NWNYH7DA2,263.5
ID_I2AKJ4TGA3JS,335.16
ID_870NP4IDB2WF,340.225
ID_PR25E8LGMX5C,367.5
ID_UD6Y4DW52N30,361.9375
ID_AX9K1UFBM90G,130.54
ID_3Y0E2QZSY8BE,330.8833333333334
ID_7RBTQWOKF593,244.46
ID_FP8GAONCAYON,232.06
ID_68RW49FF7NF2,359.75
ID_X8UKDAZNQLE5,152.76
ID_WV5M56G6J46P,317.06
ID_CKZAYHVYDNOH,319.8
ID_30MYYJ3CGU71,201.3
ID_BH392O5O9YIJ,332.1
ID_Z584MTBFZM57,160.8
ID_FMP63TJMIYD2,227.2
ID_D7KZIKGDA5TC,350.89166666666665
ID_FL43EATDHM0N,347.8
ID_0PZHH6TLV3CA,252.64
ID_SXO3TLUQS06B,371.4
ID_6OMUQ7RGG9PB,247.17
ID_K31RQKN5YZGQ,127.2
ID_5ONQKXWCPAYW,345.4
ID_WTFWWIHRP8QJ,123.04
ID_TUK3UTUY685M,320.03
ID_HLKXLS0FWIO3,313.95
ID_033YEZI2YTMN,323.15833333333336
ID_YKL207W57L0U,243.5
ID_NZMFMBIC4FNF,231.11
ID_17SQTC2HLKAE,369.7
ID_I1X7CIDBKXZQ,243.73
ID_RVPLXJ5UWB6O,242.26
ID_WJSH3NU9GIQB,8.64
ID_EQZ7H1WA78OS,250.17
ID_1MKAKRVW5T92,150.92
ID_8B19FL2AJ194,220.39
ID_03SHDKQD95XF,179.94
ID_PRAU2EMQM87U,333.625
ID_D6ZOJRHT0A7H,386.35
ID_OM42UEJQR618,265.9
ID_6ZA9ROTCTCTY,327.6
ID_7QHVYN5YJYAP,155.93
ID_Z6A67N4N3KEJ,4.0
ID_Y6D7U7R1ULMA,325.1
ID_CD5QDTLLZUPT,234.27
ID_2NKYXQYFQQRX,325.05
ID_FBQI3IPLIAAZ,261.54
ID_WC5O6CA49JCT,311.15
ID_P4TXP8UNLQ5F,4.0
ID_GEAJ29CHENIM,358.3
ID_PP2CV6NRSO3K,237.63
ID_UIL7S6F6IKE8,399.1
ID_OKZW0FT04KAU,18.4
ID_1L6LU32N1HFC,50.79
ID_PU514SH6TUVR,153.34
ID_RNDBVA4NU0LW,340.3625
ID_4VG5G0IN38WK,129.44
ID_3BJCEQIRMQTP,323.5
ID_CH40371WNU45,324.81
ID_KREBTUJY9PUQ,399.1
ID_O2YSLD8B37UI,332.35
ID_EKKF7GLOX3SD,311.06
ID_JK4O5BTLDHTX,290.07
ID_ZXT4WUZLCMVH,398.7
ID_X7PUGW9NI1FI,297.75
ID_4VC1K7FA4J17,269.82
ID_PSLVQKNWEZ0N,368.95
ID_IGCX54TFOFX9,332.7
ID_6FF2BX4HPOG7,325.6
ID_KNDRB17VJJHN,199.0
ID_KIAVLFCA0QAB,177.93
ID_LS72BPM71SR7,379.3
ID_2WAZFPTIJ1OA,315.5625
ID_T6X2E4LGICKT,216.54
ID_IVZNV00VK1WF,124.04
ID_8STN6IQK6GRH,4.0
ID_VG3DNKAC70DB,347.2166666666667
ID_UQJV4MFOR1M5,399.0
ID_EQYXNVKPIZ8S,331.35
ID_RJG2AH2AUIN8,265.2
ID_C1YRVYTDHBCI,326.55
ID_1TJKPVFP9B3X,272.91
ID_TY66I8PV70BN,126.48
ID_YQRL2IOUU4SZ,375.8
ID_VAX2N8ELPEZE,332.67
